OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq2846	0	0	2	0	0
seq2849	0	15	3	2	2
seq2858	0	0	1	1	0
seq286	5	0	1	1	0
seq2860	0	0	1	1	0
seq2861	0	1	1	0	0
seq2867	0	0	1	1	0
seq287	2	0	1	0	0
seq2875	0	0	1	0	1
seq2880	0	2	1	1	0
seq2887	0	1	1	0	1
seq2890	0	0	2	1	0
seq2892	0	0	2	0	0
seq2895	0	2	1	0	1
seq2896	0	2	1	1	1
seq2897	0	0	2	0	1
seq2899	0	0	1	0	1
seq2901	0	0	3	0	0
seq2902	0	0	2	0	0
seq2904	0	1	1	1	0
seq2908	0	0	1	1	0
seq291	1	1	0	0	0
seq2918	0	0	1	1	0
seq2922	0	0	1	0	1
seq2924	0	3	1	0	1
seq2925	0	0	3	1	0
seq2929	0	2	1	1	0
seq293	1	1	0	0	0
seq2936	0	1	1	0	0
seq2938	0	1	1	0	0
seq294	3	0	0	0	1
seq2940	0	1	1	0	0
seq2952	0	0	1	1	0
seq2957	0	1	1	0	0
seq2961	0	1	1	1	0
seq2964	0	0	1	1	0
seq2965	0	1	1	0	0
seq297	5	3	0	0	0
seq2974	0	1	1	0	0
seq2975	0	0	2	0	1
seq2977	0	0	1	1	0
seq298	3	0	0	0	0
seq2983	0	2	1	1	0
seq2984	0	0	2	0	0
seq2987	0	0	2	0	1
seq2991	0	5	1	0	0
seq2994	0	1	1	0	0
seq3	1	1	0	0	0
seq300	1	1	0	0	1
seq3005	0	1	2	0	0
seq301	2	0	0	0	0
seq3011	0	1	1	0	0
seq3015	0	2	3	0	1
seq3020	0	5	1	0	0
seq3028	0	0	3	1	2
seq3031	0	0	2	0	1
seq304	1	1	0	0	0
seq305	3	3	0	0	0
seq3054	0	0	1	1	0
seq306	2	0	0	0	0
seq3060	0	0	2	3	0
seq3065	0	1	1	0	0
seq3066	0	3	1	0	0
seq3068	0	1	1	0	0
seq3069	0	1	1	1	0
seq3074	0	0	3	0	0
seq3075	0	0	5	0	1
seq3077	0	1	1	0	0
seq3084	0	1	1	0	0
seq309	3	1	0	0	0
seq3097	0	0	1	0	1
seq3098	0	1	1	0	0
seq31	5	6	0	0	0
seq310	2	0	0	0	0
seq3101	0	1	3	0	2
seq3108	0	1	1	0	0
seq3109	0	0	1	0	1
seq3114	0	0	1	1	0
seq3118	0	0	1	1	0
seq3119	0	0	1	0	1
seq312	2	0	1	0	0
seq3121	0	0	1	1	0
seq3126	0	0	1	1	0
